,location_id,date,temperature_2m,relative_humidity_2m
0,1,2023-01-01 00:00:00+00:00,17.296999,69.0
1,1,2023-01-01 01:00:00+00:00,17.197,67.0
2,1,2023-01-01 02:00:00+00:00,16.796999,65.0
3,1,2023-01-01 03:00:00+00:00,16.097,66.0
4,1,2023-01-01 04:00:00+00:00,15.646999,70.0
5,1,2023-01-01 05:00:00+00:00,16.947,74.0
6,1,2023-01-01 06:00:00+00:00,19.897,64.0
7,1,2023-01-01 07:00:00+00:00,21.997,54.0
8,1,2023-01-01 08:00:00+00:00,23.597,48.0
9,1,2023-01-01 09:00:00+00:00,24.747,43.0
10,1,2023-01-01 10:00:00+00:00,25.597,38.0
11,1,2023-01-01 11:00:00+00:00,26.097,37.0
12,1,2023-01-01 12:00:00+00:00,26.247,36.0
13,1,2023-01-01 13:00:00+00:00,26.097,36.0
14,1,2023-01-01 14:00:00+00:00,25.546999,37.0
15,1,2023-01-01 15:00:00+00:00,24.497,39.0
16,1,2023-01-01 16:00:00+00:00,21.997,46.0
17,1,2023-01-01 17:00:00+00:00,20.046999,52.0
18,1,2023-01-01 18:00:00+00:00,18.897,50.0
19,1,2023-01-01 19:00:00+00:00,18.597,51.0
20,1,2023-01-01 20:00:00+00:00,18.097,57.0
21,1,2023-01-01 21:00:00+00:00,17.647,59.0
22,1,2023-01-01 22:00:00+00:00,16.897,63.0
23,1,2023-01-01 23:00:00+00:00,16.197,67.0
24,1,2023-01-02 00:00:00+00:00,15.447,66.0
25,1,2023-01-02 01:00:00+00:00,15.097,68.0
26,1,2023-01-02 02:00:00+00:00,14.847,71.0
27,1,2023-01-02 03:00:00+00:00,14.396999,75.0
28,1,2023-01-02 04:00:00+00:00,14.047,79.0
29,1,2023-01-02 05:00:00+00:00,16.247,78.0
30,1,2023-01-02 06:00:00+00:00,19.497,68.0
31,1,2023-01-02 07:00:00+00:00,21.546999,58.0
32,1,2023-01-02 08:00:00+00:00,22.847,53.0
33,1,2023-01-02 09:00:00+00:00,23.697,50.0
34,1,2023-01-02 10:00:00+00:00,24.747,48.0
35,1,2023-01-02 11:00:00+00:00,25.497,45.0
36,1,2023-01-02 12:00:00+00:00,25.747,41.0
37,1,2023-01-02 13:00:00+00:00,25.847,40.0
38,1,2023-01-02 14:00:00+00:00,25.347,40.0
39,1,2023-01-02 15:00:00+00:00,24.147,42.0
40,1,2023-01-02 16:00:00+00:00,22.097,49.0
41,1,2023-01-02 17:00:00+00:00,20.296999,57.0
42,1,2023-01-02 18:00:00+00:00,19.347,58.0
43,1,2023-01-02 19:00:00+00:00,18.997,61.0
44,1,2023-01-02 20:00:00+00:00,18.497,63.0
45,1,2023-01-02 21:00:00+00:00,17.796999,67.0
46,1,2023-01-02 22:00:00+00:00,16.947,72.0
47,1,2023-01-02 23:00:00+00:00,16.197,75.0
48,1,2023-01-03 00:00:00+00:00,16.497,75.0
49,1,2023-01-03 01:00:00+00:00,16.347,77.0
50,1,2023-01-03 02:00:00+00:00,16.097,80.0
51,1,2023-01-03 03:00:00+00:00,15.797,83.0
52,1,2023-01-03 04:00:00+00:00,15.547,86.0
53,1,2023-01-03 05:00:00+00:00,16.897,86.0
54,1,2023-01-03 06:00:00+00:00,19.747,73.0
55,1,2023-01-03 07:00:00+00:00,21.847,60.0
56,1,2023-01-03 08:00:00+00:00,22.847,56.0
57,1,2023-01-03 09:00:00+00:00,23.647,54.0
58,1,2023-01-03 10:00:00+00:00,24.597,50.0
59,1,2023-01-03 11:00:00+00:00,25.046999,47.0
60,1,2023-01-03 12:00:00+00:00,25.447,46.0
61,1,2023-01-03 13:00:00+00:00,25.247,46.0
62,1,2023-01-03 14:00:00+00:00,24.747,46.0
63,1,2023-01-03 15:00:00+00:00,23.647,48.0
64,1,2023-01-03 16:00:00+00:00,21.647,55.0
65,1,2023-01-03 17:00:00+00:00,19.847,62.0
66,1,2023-01-03 18:00:00+00:00,18.747,66.0
67,1,2023-01-03 19:00:00+00:00,17.997,70.0
68,1,2023-01-03 20:00:00+00:00,17.447,71.0
69,1,2023-01-03 21:00:00+00:00,17.046999,71.0
70,1,2023-01-03 22:00:00+00:00,16.597,71.0
71,1,2023-01-03 23:00:00+00:00,16.397,70.0
72,1,2023-01-04 00:00:00+00:00,15.947,72.0
73,1,2023-01-04 01:00:00+00:00,15.197,77.0
74,1,2023-01-04 02:00:00+00:00,14.447,81.0
75,1,2023-01-04 03:00:00+00:00,13.747,85.0
76,1,2023-01-04 04:00:00+00:00,13.297,88.0
77,1,2023-01-04 05:00:00+00:00,15.146999,87.0
78,1,2023-01-04 06:00:00+00:00,19.447,72.0
79,1,2023-01-04 07:00:00+00:00,22.197,58.0
80,1,2023-01-04 08:00:00+00:00,23.697,51.0
81,1,2023-01-04 09:00:00+00:00,24.546999,48.0
82,1,2023-01-04 10:00:00+00:00,24.747,47.0
83,1,2023-01-04 11:00:00+00:00,25.097,47.0
84,1,2023-01-04 12:00:00+00:00,25.247,47.0
85,1,2023-01-04 13:00:00+00:00,25.597,45.0
86,1,2023-01-04 14:00:00+00:00,24.847,48.0
87,1,2023-01-04 15:00:00+00:00,23.697,52.0
88,1,2023-01-04 16:00:00+00:00,21.796999,58.0
89,1,2023-01-04 17:00:00+00:00,19.997,67.0
90,1,2023-01-04 18:00:00+00:00,18.597,73.0
91,1,2023-01-04 19:00:00+00:00,18.097,76.0
92,1,2023-01-04 20:00:00+00:00,17.697,76.0
93,1,2023-01-04 21:00:00+00:00,17.296999,76.0
94,1,2023-01-04 22:00:00+00:00,16.796999,77.0
95,1,2023-01-04 23:00:00+00:00,16.497,78.0
96,1,2023-01-05 00:00:00+00:00,15.797,75.0
97,1,2023-01-05 01:00:00+00:00,15.597,73.0
98,1,2023-01-05 02:00:00+00:00,14.747,76.0
99,1,2023-01-05 03:00:00+00:00,13.947,80.0
100,1,2023-01-05 04:00:00+00:00,13.297,84.0
101,1,2023-01-05 05:00:00+00:00,14.747,85.0
102,1,2023-01-05 06:00:00+00:00,18.447,68.0
103,1,2023-01-05 07:00:00+00:00,21.447,56.0
104,1,2023-01-05 08:00:00+00:00,23.647,46.0
105,1,2023-01-05 09:00:00+00:00,24.647,44.0
106,1,2023-01-05 10:00:00+00:00,25.097,43.0
107,1,2023-01-05 11:00:00+00:00,25.546999,42.0
108,1,2023-01-05 12:00:00+00:00,26.046999,39.0
109,1,2023-01-05 13:00:00+00:00,25.947,38.0
110,1,2023-01-05 14:00:00+00:00,24.796999,44.0
111,1,2023-01-05 15:00:00+00:00,23.847,46.0
112,1,2023-01-05 16:00:00+00:00,22.197,52.0
113,1,2023-01-05 17:00:00+00:00,21.097,56.0
114,1,2023-01-05 18:00:00+00:00,20.597,57.0
115,1,2023-01-05 19:00:00+00:00,19.647,60.0
116,1,2023-01-05 20:00:00+00:00,18.497,63.0
117,1,2023-01-05 21:00:00+00:00,17.197,68.0
118,1,2023-01-05 22:00:00+00:00,16.047,73.0
119,1,2023-01-05 23:00:00+00:00,15.197,76.0
120,1,2023-01-06 00:00:00+00:00,13.847,79.0
121,1,2023-01-06 01:00:00+00:00,13.247,81.0
122,1,2023-01-06 02:00:00+00:00,12.646999,84.0
123,1,2023-01-06 03:00:00+00:00,12.197,86.0
124,1,2023-01-06 04:00:00+00:00,11.797,88.0
125,1,2023-01-06 05:00:00+00:00,14.097,85.0
126,1,2023-01-06 06:00:00+00:00,18.497,68.0
127,1,2023-01-06 07:00:00+00:00,21.647,59.0
128,1,2023-01-06 08:00:00+00:00,24.197,52.0
129,1,2023-01-06 09:00:00+00:00,25.697,44.0
130,1,2023-01-06 10:00:00+00:00,26.546999,39.0
131,1,2023-01-06 11:00:00+00:00,27.097,37.0
132,1,2023-01-06 12:00:00+00:00,27.447,35.0
133,1,2023-01-06 13:00:00+00:00,27.347,35.0
134,1,2023-01-06 14:00:00+00:00,27.046999,37.0
135,1,2023-01-06 15:00:00+00:00,26.147,39.0
136,1,2023-01-06 16:00:00+00:00,23.997,56.0
137,1,2023-01-06 17:00:00+00:00,22.097,61.0
138,1,2023-01-06 18:00:00+00:00,20.947,64.0
139,1,2023-01-06 19:00:00+00:00,20.147,71.0
140,1,2023-01-06 20:00:00+00:00,19.647,76.0
141,1,2023-01-06 21:00:00+00:00,17.597,84.0
142,1,2023-01-06 22:00:00+00:00,16.296999,82.0
143,1,2023-01-06 23:00:00+00:00,15.247,80.0
144,1,2023-01-07 00:00:00+00:00,14.697,78.0
145,1,2023-01-07 01:00:00+00:00,14.547,81.0
146,1,2023-01-07 02:00:00+00:00,14.547,85.0
147,1,2023-01-07 03:00:00+00:00,14.847,86.0
148,1,2023-01-07 04:00:00+00:00,15.197,86.0
149,1,2023-01-07 05:00:00+00:00,16.747,85.0
150,1,2023-01-07 06:00:00+00:00,19.796999,73.0
151,1,2023-01-07 07:00:00+00:00,22.347,64.0
152,1,2023-01-07 08:00:00+00:00,24.497,55.0
153,1,2023-01-07 09:00:00+00:00,25.747,47.0
154,1,2023-01-07 10:00:00+00:00,26.447,42.0
155,1,2023-01-07 11:00:00+00:00,27.046999,41.0
156,1,2023-01-07 12:00:00+00:00,27.897,38.0
157,1,2023-01-07 13:00:00+00:00,27.447,40.0
158,1,2023-01-07 14:00:00+00:00,26.296999,41.0
159,1,2023-01-07 15:00:00+00:00,25.347,44.0
160,1,2023-01-07 16:00:00+00:00,23.447,53.0
161,1,2023-01-07 17:00:00+00:00,21.546999,63.0
162,1,2023-01-07 18:00:00+00:00,21.347,64.0
163,1,2023-01-07 19:00:00+00:00,20.747,67.0
164,1,2023-01-07 20:00:00+00:00,19.347,75.0
165,1,2023-01-07 21:00:00+00:00,18.247,77.0
166,1,2023-01-07 22:00:00+00:00,17.296999,79.0
167,1,2023-01-07 23:00:00+00:00,16.347,84.0
168,1,2023-01-08 00:00:00+00:00,16.047,87.0
169,1,2023-01-08 01:00:00+00:00,15.497,90.0
170,1,2023-01-08 02:00:00+00:00,15.447,88.0
171,1,2023-01-08 03:00:00+00:00,15.247,88.0
172,1,2023-01-08 04:00:00+00:00,15.247,88.0
173,1,2023-01-08 05:00:00+00:00,16.697,89.0
