,location_id,date,precipitation,global_tilted_irradiance
0,3,2023-01-01 00:00:00+00:00,0.0,0.0
1,3,2023-01-01 01:00:00+00:00,0.0,0.0
2,3,2023-01-01 02:00:00+00:00,0.0,0.0
3,3,2023-01-01 03:00:00+00:00,0.0,0.0
4,3,2023-01-01 04:00:00+00:00,0.0,0.0
5,3,2023-01-01 05:00:00+00:00,0.0,0.0
6,3,2023-01-01 06:00:00+00:00,0.0,0.0
7,3,2023-01-01 07:00:00+00:00,0.0,8.999999
8,3,2023-01-01 08:00:00+00:00,0.0,88.0
9,3,2023-01-01 09:00:00+00:00,0.0,192.00003
10,3,2023-01-01 10:00:00+00:00,0.0,275.0
11,3,2023-01-01 11:00:00+00:00,0.0,314.99997
12,3,2023-01-01 12:00:00+00:00,0.0,303.0
13,3,2023-01-01 13:00:00+00:00,0.0,230.00002
14,3,2023-01-01 14:00:00+00:00,0.0,144.0
15,3,2023-01-01 15:00:00+00:00,0.0,48.999992
16,3,2023-01-01 16:00:00+00:00,0.0,0.0
17,3,2023-01-01 17:00:00+00:00,0.0,0.0
18,3,2023-01-01 18:00:00+00:00,0.0,0.0
19,3,2023-01-01 19:00:00+00:00,0.0,0.0
20,3,2023-01-01 20:00:00+00:00,0.0,0.0
21,3,2023-01-01 21:00:00+00:00,0.0,0.0
22,3,2023-01-01 22:00:00+00:00,0.0,0.0
23,3,2023-01-01 23:00:00+00:00,0.0,0.0
24,3,2023-01-02 00:00:00+00:00,0.0,0.0
25,3,2023-01-02 01:00:00+00:00,0.0,0.0
26,3,2023-01-02 02:00:00+00:00,0.0,0.0
27,3,2023-01-02 03:00:00+00:00,0.0,0.0
28,3,2023-01-02 04:00:00+00:00,0.0,0.0
29,3,2023-01-02 05:00:00+00:00,0.0,0.0
30,3,2023-01-02 06:00:00+00:00,0.0,0.0
31,3,2023-01-02 07:00:00+00:00,0.0,8.999999
32,3,2023-01-02 08:00:00+00:00,0.0,79.0
33,3,2023-01-02 09:00:00+00:00,0.0,176.0
34,3,2023-01-02 10:00:00+00:00,0.0,262.00003
35,3,2023-01-02 11:00:00+00:00,0.0,297.0
36,3,2023-01-02 12:00:00+00:00,0.0,286.0
37,3,2023-01-02 13:00:00+00:00,0.0,238.00002
38,3,2023-01-02 14:00:00+00:00,0.0,152.0
39,3,2023-01-02 15:00:00+00:00,0.0,48.999992
40,3,2023-01-02 16:00:00+00:00,0.0,0.0
41,3,2023-01-02 17:00:00+00:00,0.0,0.0
42,3,2023-01-02 18:00:00+00:00,0.0,0.0
43,3,2023-01-02 19:00:00+00:00,0.0,0.0
44,3,2023-01-02 20:00:00+00:00,0.0,0.0
45,3,2023-01-02 21:00:00+00:00,0.0,0.0
46,3,2023-01-02 22:00:00+00:00,0.0,0.0
47,3,2023-01-02 23:00:00+00:00,0.0,0.0
48,3,2023-01-03 00:00:00+00:00,0.0,0.0
49,3,2023-01-03 01:00:00+00:00,0.0,0.0
50,3,2023-01-03 02:00:00+00:00,0.0,0.0
51,3,2023-01-03 03:00:00+00:00,0.0,0.0
52,3,2023-01-03 04:00:00+00:00,0.0,0.0
53,3,2023-01-03 05:00:00+00:00,0.0,0.0
54,3,2023-01-03 06:00:00+00:00,0.0,0.0
55,3,2023-01-03 07:00:00+00:00,0.0,9.000002
56,3,2023-01-03 08:00:00+00:00,0.0,91.999985
57,3,2023-01-03 09:00:00+00:00,0.0,201.0
58,3,2023-01-03 10:00:00+00:00,0.0,284.0
59,3,2023-01-03 11:00:00+00:00,0.0,324.0
60,3,2023-01-03 12:00:00+00:00,0.0,312.99994
61,3,2023-01-03 13:00:00+00:00,0.0,257.0
62,3,2023-01-03 14:00:00+00:00,0.0,158.00002
63,3,2023-01-03 15:00:00+00:00,0.0,51.000008
64,3,2023-01-03 16:00:00+00:00,0.0,1.0
65,3,2023-01-03 17:00:00+00:00,0.0,0.0
66,3,2023-01-03 18:00:00+00:00,0.0,0.0
67,3,2023-01-03 19:00:00+00:00,0.0,0.0
68,3,2023-01-03 20:00:00+00:00,0.0,0.0
69,3,2023-01-03 21:00:00+00:00,0.0,0.0
70,3,2023-01-03 22:00:00+00:00,0.0,0.0
71,3,2023-01-03 23:00:00+00:00,0.0,0.0
72,3,2023-01-04 00:00:00+00:00,0.0,0.0
