,location_id,date,precipitation_previous_day1,precipitation_previous_day2,precipitation_previous_day3,precipitation_previous_day4,precipitation_previous_day5,precipitation_previous_day6,precipitation_previous_day7,global_tilted_irradiance_previous_day1,global_tilted_irradiance_previous_day2,global_tilted_irradiance_previous_day3,global_tilted_irradiance_previous_day4,global_tilted_irradiance_previous_day5,global_tilted_irradiance_previous_day6,global_tilted_irradiance_previous_day7
0,3,2024-02-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2024-02-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,2024-02-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2024-02-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,2024-02-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,2024-02-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,2024-02-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,2024-02-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.999998,23.0,33.999996,27.999996,22.0,47.999985
8,3,2024-02-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,139.0,100.0,111.0,94.0,71.0,162.99998
9,3,2024-02-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,272.0,229.0,186.0,160.0,124.0,264.0
10,3,2024-02-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,372.0,372.0,275.0,253.0,208.0,349.99997
11,3,2024-02-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,425.99997,427.99997,365.0,356.0,309.0,409.0
12,3,2024-02-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.00003,420.00003,418.0,406.0,265.0,231.0,440.00003
13,3,2024-02-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,363.0,367.0,373.0,242.0,240.0,398.00003
14,3,2024-02-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.00002,255.00002,258.00003,284.0,183.0,212.0,306.0
