,location_id,date,relative_humidity_2m,us_aqi
0,2,2023-01-01 00:00:00+00:00,75.0,79.08689
1,2,2023-01-01 01:00:00+00:00,77.0,79.31738
2,2,2023-01-01 02:00:00+00:00,77.0,79.62767
3,2,2023-01-01 03:00:00+00:00,69.0,80.14185
4,2,2023-01-01 04:00:00+00:00,68.0,80.797874
5,2,2023-01-01 05:00:00+00:00,64.0,81.59574
6,2,2023-01-01 06:00:00+00:00,61.0,82.54433
7,2,2023-01-01 07:00:00+00:00,58.0,83.65248
8,2,2023-01-01 08:00:00+00:00,57.0,84.90248
9,2,2023-01-01 09:00:00+00:00,58.0,86.24999
10,2,2023-01-01 10:00:00+00:00,60.0,87.65957
11,2,2023-01-01 11:00:00+00:00,62.0,89.14894
12,2,2023-01-01 12:00:00+00:00,62.0,90.77127
13,2,2023-01-01 13:00:00+00:00,68.0,91.56028
14,2,2023-01-01 14:00:00+00:00,70.0,92.49999
15,2,2023-01-01 15:00:00+00:00,72.0,93.59042
16,2,2023-01-01 16:00:00+00:00,72.0,94.75178
17,2,2023-01-01 17:00:00+00:00,73.0,95.92198
18,2,2023-01-01 18:00:00+00:00,72.0,97.0656
19,2,2023-01-01 19:00:00+00:00,75.0,98.1383
20,2,2023-01-01 20:00:00+00:00,74.0,99.1312
21,2,2023-01-01 21:00:00+00:00,75.0,100.052086
22,2,2023-01-01 22:00:00+00:00,76.0,101.04167
23,2,2023-01-01 23:00:00+00:00,78.0,101.97917
24,2,2023-01-02 00:00:00+00:00,82.0,102.87501
25,2,2023-01-02 01:00:00+00:00,85.0,103.6875
26,2,2023-01-02 02:00:00+00:00,86.0,104.49999
27,2,2023-01-02 03:00:00+00:00,86.0,105.20833
28,2,2023-01-02 04:00:00+00:00,86.0,105.84375
29,2,2023-01-02 05:00:00+00:00,87.0,106.447914
30,2,2023-01-02 06:00:00+00:00,85.0,107.06251
31,2,2023-01-02 07:00:00+00:00,84.0,107.71874
32,2,2023-01-02 08:00:00+00:00,86.0,108.354164
33,2,2023-01-02 09:00:00+00:00,85.0,108.98959
34,2,2023-01-02 10:00:00+00:00,80.0,109.60417
35,2,2023-01-02 11:00:00+00:00,78.0,110.114586
36,2,2023-01-02 12:00:00+00:00,84.0,110.36458
37,2,2023-01-02 13:00:00+00:00,85.0,110.40626
38,2,2023-01-02 14:00:00+00:00,87.0,110.052086
39,2,2023-01-02 15:00:00+00:00,89.0,109.40626
40,2,2023-01-02 16:00:00+00:00,88.0,108.66668
41,2,2023-01-02 17:00:00+00:00,87.0,107.85419
42,2,2023-01-02 18:00:00+00:00,84.0,106.92709
43,2,2023-01-02 19:00:00+00:00,86.0,106.04168
44,2,2023-01-02 20:00:00+00:00,88.0,105.26042
45,2,2023-01-02 21:00:00+00:00,84.0,104.58334
46,2,2023-01-02 22:00:00+00:00,77.0,104.00002
47,2,2023-01-02 23:00:00+00:00,73.0,103.468765
48,2,2023-01-03 00:00:00+00:00,78.0,102.98959
49,2,2023-01-03 01:00:00+00:00,79.0,102.55209
50,2,2023-01-03 02:00:00+00:00,78.0,101.98959
51,2,2023-01-03 03:00:00+00:00,77.0,101.312515
52,2,2023-01-03 04:00:00+00:00,77.0,100.55209
53,2,2023-01-03 05:00:00+00:00,72.0,99.73405
54,2,2023-01-03 06:00:00+00:00,72.0,98.95392
55,2,2023-01-03 07:00:00+00:00,70.0,98.138306
56,2,2023-01-03 08:00:00+00:00,70.0,97.30498
57,2,2023-01-03 09:00:00+00:00,70.0,96.4539
58,2,2023-01-03 10:00:00+00:00,71.0,95.585106
59,2,2023-01-03 11:00:00+00:00,72.0,94.742905
60,2,2023-01-03 12:00:00+00:00,67.0,94.06028
61,2,2023-01-03 13:00:00+00:00,68.0,93.83865
62,2,2023-01-03 14:00:00+00:00,70.0,93.91844
63,2,2023-01-03 15:00:00+00:00,76.0,94.26418
64,2,2023-01-03 16:00:00+00:00,82.0,94.78723
65,2,2023-01-03 17:00:00+00:00,84.0,95.48758
66,2,2023-01-03 18:00:00+00:00,84.0,96.40957
67,2,2023-01-03 19:00:00+00:00,85.0,97.42907
68,2,2023-01-03 20:00:00+00:00,85.0,98.45744
69,2,2023-01-03 21:00:00+00:00,88.0,99.48582
70,2,2023-01-03 22:00:00+00:00,89.0,100.604164
71,2,2023-01-03 23:00:00+00:00,90.0,101.78125
72,2,2023-01-04 00:00:00+00:00,89.0,102.82292
73,2,2023-01-04 01:00:00+00:00,89.0,103.65624
74,2,2023-01-04 02:00:00+00:00,89.0,104.54167
75,2,2023-01-04 03:00:00+00:00,90.0,108.596466
76,2,2023-01-04 04:00:00+00:00,91.0,113.315414
77,2,2023-01-04 05:00:00+00:00,89.0,118.92783
78,2,2023-01-04 06:00:00+00:00,85.0,124.60965
79,2,2023-01-04 07:00:00+00:00,84.0,126.06697
80,2,2023-01-04 08:00:00+00:00,81.0,126.049614
81,2,2023-01-04 09:00:00+00:00,79.0,125.42505
82,2,2023-01-04 10:00:00+00:00,77.0,125.68529
83,2,2023-01-04 11:00:00+00:00,75.0,125.84143
84,2,2023-01-04 12:00:00+00:00,74.0,128.9556
85,2,2023-01-04 13:00:00+00:00,79.0,122.319565
86,2,2023-01-04 14:00:00+00:00,86.0,118.89584
87,2,2023-01-04 15:00:00+00:00,85.0,120.1875
88,2,2023-01-04 16:00:00+00:00,74.0,120.989586
89,2,2023-01-04 17:00:00+00:00,73.0,120.94791
90,2,2023-01-04 18:00:00+00:00,79.0,120.208336
91,2,2023-01-04 19:00:00+00:00,81.0,118.82291
92,2,2023-01-04 20:00:00+00:00,84.0,116.89584
93,2,2023-01-04 21:00:00+00:00,87.0,114.520836
94,2,2023-01-04 22:00:00+00:00,89.0,112.07292
95,2,2023-01-04 23:00:00+00:00,88.0,109.572914
96,2,2023-01-05 00:00:00+00:00,95.0,107.28126
97,2,2023-01-05 01:00:00+00:00,94.0,105.416664
98,2,2023-01-05 02:00:00+00:00,94.0,103.291664
99,2,2023-01-05 03:00:00+00:00,91.0,100.947914
100,2,2023-01-05 04:00:00+00:00,91.0,98.625885
101,2,2023-01-05 05:00:00+00:00,92.0,96.36524
102,2,2023-01-05 06:00:00+00:00,91.0,94.086876
103,2,2023-01-05 07:00:00+00:00,89.0,91.87056
104,2,2023-01-05 08:00:00+00:00,88.0,89.75177
105,2,2023-01-05 09:00:00+00:00,87.0,87.56206
106,2,2023-01-05 10:00:00+00:00,83.0,85.3812
107,2,2023-01-05 11:00:00+00:00,85.0,83.19149
108,2,2023-01-05 12:00:00+00:00,91.0,80.90426
109,2,2023-01-05 13:00:00+00:00,91.0,78.41312
110,2,2023-01-05 14:00:00+00:00,92.0,75.64715
111,2,2023-01-05 15:00:00+00:00,93.0,72.68616
112,2,2023-01-05 16:00:00+00:00,93.0,70.03546
113,2,2023-01-05 17:00:00+00:00,90.0,68.07624
114,2,2023-01-05 18:00:00+00:00,90.0,66.67553
115,2,2023-01-05 19:00:00+00:00,88.0,65.833336
116,2,2023-01-05 20:00:00+00:00,86.0,65.47872
117,2,2023-01-05 21:00:00+00:00,85.0,65.523056
118,2,2023-01-05 22:00:00+00:00,85.0,65.60284
119,2,2023-01-05 23:00:00+00:00,86.0,65.72695
120,2,2023-01-06 00:00:00+00:00,92.0,65.70922
121,2,2023-01-06 01:00:00+00:00,92.0,65.34575
122,2,2023-01-06 02:00:00+00:00,91.0,65.18617
123,2,2023-01-06 03:00:00+00:00,89.0,65.15958
124,2,2023-01-06 04:00:00+00:00,89.0,65.31029
125,2,2023-01-06 05:00:00+00:00,89.0,65.53192
126,2,2023-01-06 06:00:00+00:00,87.0,65.75355
127,2,2023-01-06 07:00:00+00:00,87.0,65.90426
128,2,2023-01-06 08:00:00+00:00,85.0,65.98405
129,2,2023-01-06 09:00:00+00:00,84.0,65.833336
130,2,2023-01-06 10:00:00+00:00,85.0,65.44327
131,2,2023-01-06 11:00:00+00:00,82.0,64.90247
132,2,2023-01-06 12:00:00+00:00,85.0,64.21099
133,2,2023-01-06 13:00:00+00:00,86.0,63.67021
134,2,2023-01-06 14:00:00+00:00,86.0,63.448586
135,2,2023-01-06 15:00:00+00:00,86.0,63.439716
136,2,2023-01-06 16:00:00+00:00,86.0,63.501774
137,2,2023-01-06 17:00:00+00:00,84.0,63.492905
138,2,2023-01-06 18:00:00+00:00,83.0,63.351067
139,2,2023-01-06 19:00:00+00:00,86.0,63.156033
140,2,2023-01-06 20:00:00+00:00,88.0,62.97872
141,2,2023-01-06 21:00:00+00:00,88.0,62.810284
142,2,2023-01-06 22:00:00+00:00,85.0,62.624115
143,2,2023-01-06 23:00:00+00:00,85.0,62.393616
144,2,2023-01-07 00:00:00+00:00,86.0,62.15426
145,2,2023-01-07 01:00:00+00:00,85.0,61.968086
146,2,2023-01-07 02:00:00+00:00,84.0,61.71986
147,2,2023-01-07 03:00:00+00:00,85.0,61.471634
148,2,2023-01-07 04:00:00+00:00,87.0,61.25
149,2,2023-01-07 05:00:00+00:00,88.0,61.037235
150,2,2023-01-07 06:00:00+00:00,84.0,60.851063
151,2,2023-01-07 07:00:00+00:00,82.0,60.664894
152,2,2023-01-07 08:00:00+00:00,81.0,60.38121
153,2,2023-01-07 09:00:00+00:00,79.0,60.13298
154,2,2023-01-07 10:00:00+00:00,76.0,59.964542
155,2,2023-01-07 11:00:00+00:00,74.0,59.849293
156,2,2023-01-07 12:00:00+00:00,68.0,59.87589
157,2,2023-01-07 13:00:00+00:00,67.0,59.849293
158,2,2023-01-07 14:00:00+00:00,67.0,59.858154
159,2,2023-01-07 15:00:00+00:00,71.0,59.929077
160,2,2023-01-07 16:00:00+00:00,74.0,59.946804
161,2,2023-01-07 17:00:00+00:00,75.0,60.01773
162,2,2023-01-07 18:00:00+00:00,79.0,60.22163
163,2,2023-01-07 19:00:00+00:00,80.0,60.47872
164,2,2023-01-07 20:00:00+00:00,85.0,60.726948
165,2,2023-01-07 21:00:00+00:00,89.0,60.99291
166,2,2023-01-07 22:00:00+00:00,85.0,61.32978
167,2,2023-01-07 23:00:00+00:00,81.0,61.737587
168,2,2023-01-08 00:00:00+00:00,78.0,62.17198
169,2,2023-01-08 01:00:00+00:00,77.0,62.632977
170,2,2023-01-08 02:00:00+00:00,77.0,63.164894
171,2,2023-01-08 03:00:00+00:00,77.0,63.75
172,2,2023-01-08 04:00:00+00:00,79.0,64.34397
173,2,2023-01-08 05:00:00+00:00,77.0,64.92908
174,2,2023-01-08 06:00:00+00:00,67.0,65.49646
175,2,2023-01-08 07:00:00+00:00,65.0,66.05497
176,2,2023-01-08 08:00:00+00:00,63.0,66.640076
177,2,2023-01-08 09:00:00+00:00,60.0,67.20745
178,2,2023-01-08 10:00:00+00:00,56.0,67.7305
179,2,2023-01-08 11:00:00+00:00,53.0,68.14717
180,2,2023-01-08 12:00:00+00:00,57.0,68.43972
181,2,2023-01-08 13:00:00+00:00,59.0,68.52837
182,2,2023-01-08 14:00:00+00:00,68.0,68.53723
183,2,2023-01-08 15:00:00+00:00,78.0,68.46631
184,2,2023-01-08 16:00:00+00:00,82.0,68.3422
185,2,2023-01-08 17:00:00+00:00,84.0,68.164894
186,2,2023-01-08 18:00:00+00:00,84.0,67.952126
187,2,2023-01-08 19:00:00+00:00,84.0,67.7039
188,2,2023-01-08 20:00:00+00:00,83.0,67.42908
189,2,2023-01-08 21:00:00+00:00,83.0,67.14539
190,2,2023-01-08 22:00:00+00:00,83.0,66.8883
191,2,2023-01-08 23:00:00+00:00,83.0,69.63264
192,2,2023-01-09 00:00:00+00:00,85.0,82.10878
193,2,2023-01-09 01:00:00+00:00,85.0,84.13645
194,2,2023-01-09 02:00:00+00:00,82.0,87.14218
195,2,2023-01-09 03:00:00+00:00,80.0,94.08398
196,2,2023-01-09 04:00:00+00:00,78.0,101.552734
197,2,2023-01-09 05:00:00+00:00,76.0,106.22832
198,2,2023-01-09 06:00:00+00:00,77.0,110.18391
199,2,2023-01-09 07:00:00+00:00,66.0,109.7762
200,2,2023-01-09 08:00:00+00:00,58.0,107.53816
201,2,2023-01-09 09:00:00+00:00,59.0,103.65198
202,2,2023-01-09 10:00:00+00:00,60.0,100.52048
203,2,2023-01-09 11:00:00+00:00,62.0,91.412224
204,2,2023-01-09 12:00:00+00:00,64.0,96.99428
205,2,2023-01-09 13:00:00+00:00,68.0,85.30534
206,2,2023-01-09 14:00:00+00:00,73.0,70.38121
207,2,2023-01-09 15:00:00+00:00,77.0,71.78191
208,2,2023-01-09 16:00:00+00:00,76.0,73.15602
209,2,2023-01-09 17:00:00+00:00,72.0,74.31737
210,2,2023-01-09 18:00:00+00:00,68.0,75.14184
211,2,2023-01-09 19:00:00+00:00,73.0,75.66489
212,2,2023-01-09 20:00:00+00:00,78.0,76.010635
213,2,2023-01-09 21:00:00+00:00,81.0,76.28546
